feedback_text,emotion_label
Magandang pasasalamat sa team ng City Social Welfare ng Urdaneta na nagbigay ng ayuda sa mga pamilya sa Mabanogbog na nasunugan. Hindi ninyo sila pinabayaan. God bless kayo! 🙏,grateful
"Sobrang delikado ng kalsada sa bypass ng Anonas sa gabi — walang sapat na ilaw, maraming lubak, at halos bawat linggo may nababalitang aksidente. Ilang pang buhay ang kailangang mawala bago maaksyunan ito? 😔",sad
Nakakagalit ang pagwawalang-bahala ng aming kapitan sa aming mga panawagan! Nasa Facebook pa namin to ikinukwento para malaman ng lahat na nagtatago siya sa kanyang responsibilidad! SANA MABASA ITO NG MGA KINAUUKULAN! 😡,angry
Goodmorning po! Suggestion lang — sana po magkaroon ng barangay health station sa Zone 4 Pinmaludpod. Malayo kasi kami sa CHO at madalas nahihirapan ang mga matatanda. Salamat po sa inyong patuloy na serbisyo!,satisfied
boss. question lang. hindi kaya its about time to put humps and additional lights sa bypass road? and maybe more police visibility? alsmosť every week may disgrasya or patay eh. i have friends na nadale na sa lugar nato.,sad
Pakiusap lang po sa mga residente ng Palina West — wag po sanang gumamit ng ilog bilang palikuran. May community CR naman po tayo. Para sa kalinisan at kalusugan ng lahat. Salamat po sa pakikinig!,satisfied
"BABALA SA MGA MAY KAPANGYARIHAN: Kung hindi maaksyunan ng aming barangay ang basurahan na ito sa loob ng isang linggo, magsasagawa kami ng peaceful protest para makita ng publiko ang kawalan ng aksyon ng aming mga opisyal! Residente kami, hindi lang bilang boto! 😡",angry
Pakicheck naman po yung mga traffic barriers sa Nancamaliran na halos matumba na — matagal na po yung ilan na nakabalagbag sa kalsada. Delikado po para sa mga nag-oovernight na sasakyan. Salamat!,satisfied
"Regarding dito sa likod ng mall.. Ginagawa po kasing cr ng mga tricycle driver ung likod ng pwesto namin, Grabe po ang panghi niyan as in.. Lalo na pag humahangin po..Di naman po binibigyang pansin po.",sad
Saludo po sa MDRRMO Urdaneta team na agad na nag-pre-position ng rescue boats bago pa man tumaas ang tubig. Handa kayo palagi. Dahil sa inyo ligtas ang maraming pamilya. 🙏💪,grateful
"Attention po sa mga tricycle drivers sa Nancayasan terminal — pakiayos po ng pagsakay ng pasahero, nagiging kaba-kaba na sa terminal, nagiging dahilan ng traffic. Sana mapagkasunduan. Salamat!",satisfied
"Grabe ang improvement ng kalsada sa Nancamaliran West ngayon. Dati puro lubak lubak, ngayon patag at maayos na. Salamat LGU at sa lahat ng nag-trabaho para dito! 👏",grateful
Shout out sa mga pulis na naka-deploy sa entrance ng Urdaneta — maayos at magalang silang makausap kahit busy sila. Iba yun. Maraming salamat sa inyong serbisyo! 🙏,grateful
"Nakakabuwisit ang sistema ng aming barangay sa Nancamaliran West — pumunta kami para sa barangay clearance, pinabalik-balik nang tatlong beses dahil 'absent ang official'! Trabaho nila yun! Bakit hindi sila nandoon?! 😡",angry
